Flux,Date,Source
420000.0,2025-01-01,Real
420000.0,2025-01-01,Real
480000.0,2025-01-02,Real
480000.0,2025-01-02,Real
430000.0,2025-01-03,Real
430000.0,2025-01-03,Real
460000.0,2025-01-04,Real
460000.0,2025-01-04,Real
430000.0,2025-01-05,Real
430000.0,2025-01-05,Real
420000.0,2025-01-06,Real
420000.0,2025-01-06,Real
410000.0,2025-01-07,Real
410000.0,2025-01-07,Real
420000.0,2025-01-08,Real
420000.0,2025-01-08,Real
420000.0,2025-01-09,Real
420000.0,2025-01-09,Real
430000.0,2025-01-10,Real
430000.0,2025-01-10,Real
490000.0,2025-01-11,Real
490000.0,2025-01-11,Real
460000.0,2025-01-12,Real
460000.0,2025-01-12,Real
440000.0,2025-01-13,Real
440000.0,2025-01-13,Real
460000.0,2025-01-14,Real
460000.0,2025-01-14,Real
450000.0,2025-01-15,Real
450000.0,2025-01-15,Real
460000.0,2025-01-16,Real
460000.0,2025-01-16,Real
530000.0,2025-01-17,Real
530000.0,2025-01-17,Real
575000.0,2025-01-18,Interpoliated
575000.0,2025-01-18,Interpoliated
710000.0,2025-01-21,Real
710000.0,2025-01-21,Real
440000.0,2025-01-22,Real
440000.0,2025-01-22,Real
620000.0,2025-01-23,Real
620000.0,2025-01-23,Real
530000.0,2025-01-24,Real
530000.0,2025-01-24,Real
480000.0,2025-01-25,Real
480000.0,2025-01-25,Real
450000.0,2025-01-26,Real
450000.0,2025-01-26,Real
440000.0,2025-01-27,Real
440000.0,2025-01-27,Real
420000.0,2025-01-28,Real
420000.0,2025-01-28,Real
400000.0,2025-01-29,Real
410000.0,2025-01-30,Real
400000.0,2025-01-31,Real
410000.0,2025-02-01,Real
420000.0,2025-02-02,Real
470000.0,2025-02-03,Real
420000.0,2025-02-04,Real
400000.0,2025-02-05,Real
430000.0,2025-02-06,Real
420000.0,2025-02-07,Real
460000.0,2025-02-08,Real
450000.0,2025-02-09,Real
440000.0,2025-02-10,Real
420000.0,2025-02-11,Real
400000.0,2025-02-12,Real
420000.0,2025-02-13,Real
440000.0,2025-02-14,Real
420000.0,2025-02-15,Real
440000.0,2025-02-16,Real
440000.0,2025-02-17,Real
460000.0,2025-02-18,Real
420000.0,2025-02-19,Real
430000.0,2025-02-20,Real
480000.0,2025-02-21,Real
450000.0,2025-02-22,Real
400000.0,2025-02-23,Real
430000.0,2025-02-24,Real
450000.0,2025-02-25,Real
420000.0,2025-02-26,Real
420000.0,2025-02-27,Real
400000.0,2025-02-28,Real
380000.0,2025-03-01,Real
380000.0,2025-03-02,Real
380000.0,2025-03-03,Real
390000.0,2025-03-04,Real
430000.0,2025-03-05,Real
430000.0,2025-03-06,Real
400000.0,2025-03-07,Real
410000.0,2025-03-08,Real
410000.0,2025-03-09,Real
420000.0,2025-03-10,Real
400000.0,2025-03-11,Real
430000.0,2025-03-12,Real
410000.0,2025-03-13,Real
420000.0,2025-03-14,Real
450000.0,2025-03-15,Real
440000.0,2025-03-16,Real
480000.0,2025-03-17,Real
450000.0,2025-03-18,Real
400000.0,2025-03-19,Real
400000.0,2025-03-20,Real
410000.0,2025-03-21,Real
430000.0,2025-03-22,Real
390000.0,2025-03-23,Real
420000.0,2025-03-24,Real
290000.0,2025-03-25,Real
430000.0,2025-03-26,Real
400000.0,2025-03-27,Real
410000.0,2025-03-28,Real
420000.0,2025-03-29,Real
380000.0,2025-03-30,Real
370000.0,2025-03-31,Real
420000.0,2025-04-01,Real
430000.0,2025-04-02,Real
450000.0,2025-04-03,Real
490000.0,2025-04-04,Real
500000.0,2025-04-05,Real
460000.0,2025-04-06,Real
460000.0,2025-04-07,Real
400000.0,2025-04-08,Real
400000.0,2025-04-09,Real
410000.0,2025-04-10,Real
440000.0,2025-04-11,Real
440000.0,2025-04-12,Real
460000.0,2025-04-13,Real
450000.0,2025-04-14,Real
500000.0,2025-04-15,Real
500000.0,2025-04-16,Real
470000.0,2025-04-17,Real
460000.0,2025-04-18,Real
420000.0,2025-04-19,Real
410000.0,2025-04-20,Real
380000.0,2025-04-21,Real
440000.0,2025-04-22,Real
400000.0,2025-04-23,Real
400000.0,2025-04-24,Real
390000.0,2025-04-25,Real
340000.0,2025-04-26,Real
420000.0,2025-04-27,Real
390000.0,2025-04-28,Real
440000.0,2025-04-29,Real
420000.0,2025-04-30,Real
410000.0,2025-05-01,Real
440000.0,2025-05-02,Real
460000.0,2025-05-03,Real
430000.0,2025-05-04,Real
450000.0,2025-05-05,Real
400000.0,2025-05-06,Real
420000.0,2025-05-07,Real
420000.0,2025-05-08,Real
350000.0,2025-05-09,Real
410000.0,2025-05-10,Real
410000.0,2025-05-11,Real
400000.0,2025-05-12,Real
390000.0,2025-05-13,Real
400000.0,2025-05-14,Real
390000.0,2025-05-15,Real
350000.0,2025-05-16,Real
390000.0,2025-05-17,Real
370000.0,2025-05-18,Real
390000.0,2025-05-19,Real
390000.0,2025-05-20,Real
380000.0,2025-05-21,Real
