Date,Flux,Source
2024-01-01,360000.0,Real
2024-01-02,350000.0,Real
2024-01-03,350000.0,Real
2024-01-04,310000.0,Real
2024-01-05,340000.0,Real
2024-01-06,330000.0,Real
2024-01-07,350000.0,Real
2024-01-08,360000.0,Real
2024-01-09,370000.0,Real
2024-01-10,390000.0,Real
2024-01-11,400000.0,Real
2024-01-12,410000.0,Real
2024-01-13,420000.0,Real
2024-01-14,390000.0,Real
2024-01-15,450000.0,Real
2024-01-16,430000.0,Real
2024-01-17,450000.0,Real
2024-01-18,480000.0,Real
2024-01-19,479909.0909090909,Interpolated
2024-01-20,479818.1818181818,Interpolated
2024-01-21,479727.2727272727,Interpolated
2024-01-22,479636.36363636365,Interpolated
2024-01-23,479545.45454545453,Interpolated
2024-01-24,479454.54545454547,Interpolated
2024-01-25,479363.63636363635,Interpolated
2024-01-26,479272.7272727273,Interpolated
2024-01-27,479181.8181818182,Interpolated
2024-01-28,479090.9090909091,Interpolated
2024-01-29,479000.0,Interpolated
2024-01-30,478909.0909090909,Interpolated
2024-01-31,478818.1818181818,Interpolated
2024-02-01,472454.54545454547,Interpolated
2024-02-02,472363.63636363635,Interpolated
2024-02-03,472272.7272727273,Interpolated
2024-02-04,472181.8181818182,Interpolated
2024-02-05,472090.9090909091,Interpolated
2024-02-06,472000.0,Interpolated
2024-02-07,471909.0909090909,Interpolated
2024-02-08,471818.1818181818,Interpolated
2024-02-09,471727.2727272727,Interpolated
2024-02-10,471636.36363636365,Interpolated
2024-02-11,471545.45454545453,Interpolated
2024-02-12,471454.54545454547,Interpolated
2024-02-13,471363.63636363635,Interpolated
2024-02-14,471272.7272727273,Interpolated
2024-02-15,471181.8181818182,Interpolated
2024-02-16,471090.9090909091,Interpolated
2024-02-17,471000.0,Interpolated
2024-02-18,470909.0909090909,Interpolated
2024-02-19,470818.1818181818,Interpolated
2024-02-20,470727.2727272727,Interpolated
2024-02-21,470636.36363636365,Interpolated
2024-02-22,470545.45454545453,Interpolated
2024-02-23,470454.54545454547,Interpolated
2024-02-24,470363.63636363635,Interpolated
2024-02-25,470272.7272727273,Interpolated
2024-02-26,470181.8181818182,Interpolated
2024-02-27,470090.9090909091,Interpolated
2024-02-28,470000.0,Real
2024-02-29,460000.0,Real
