Date,Flux,Source
2025-01-01,420000.0,Real
2025-01-02,480000.0,Real
2025-01-03,430000.0,Real
2025-01-04,460000.0,Real
2025-01-05,430000.0,Real
2025-01-06,420000.0,Real
2025-01-07,410000.0,Real
2025-01-08,420000.0,Real
2025-01-09,420000.0,Real
2025-01-10,430000.0,Real
2025-01-11,490000.0,Real
2025-01-12,460000.0,Real
2025-01-13,440000.0,Real
2025-01-14,460000.0,Real
2025-01-15,450000.0,Real
2025-01-16,460000.0,Real
2025-01-17,530000.0,Real
2025-01-18,575000.0,Interpoliated
2025-01-19,620000.0,Interpoliated
2025-01-20,665000.0,Interpoliated
2025-01-21,710000.0,Real
2025-01-22,440000.0,Real
2025-01-23,620000.0,Real
2025-01-24,530000.0,Real
2025-01-25,480000.0,Real
2025-01-26,450000.0,Real
2025-01-27,440000.0,Real
2025-01-28,420000.0,Real
2025-01-29,400000.0,Real
2025-01-30,410000.0,Real
2025-01-31,400000.0,Real
2025-02-01,410000.0,Real
2025-02-02,420000.0,Real
2025-02-03,470000.0,Real
2025-02-04,420000.0,Real
2025-02-05,400000.0,Real
2025-02-06,430000.0,Real
2025-02-07,420000.0,Real
2025-02-08,460000.0,Real
2025-02-09,450000.0,Real
2025-02-10,440000.0,Real
2025-02-11,420000.0,Real
2025-02-12,400000.0,Real
2025-02-13,420000.0,Real
2025-02-14,440000.0,Real
2025-02-15,420000.0,Real
2025-02-16,440000.0,Real
2025-02-17,440000.0,Real
2025-02-18,460000.0,Real
2025-02-19,420000.0,Real
2025-02-20,430000.0,Real
2025-02-21,480000.0,Real
2025-02-22,450000.0,Real
2025-02-23,400000.0,Real
2025-02-24,430000.0,Real
2025-02-25,450000.0,Real
2025-02-26,420000.0,Real
2025-02-27,420000.0,Real
2025-02-28,400000.0,Real
2025-03-01,380000.0,Real
2025-03-02,380000.0,Real
2025-03-03,380000.0,Real
2025-03-04,390000.0,Real
2025-03-05,430000.0,Real
2025-03-06,430000.0,Real
2025-03-07,400000.0,Real
2025-03-08,410000.0,Real
2025-03-09,410000.0,Real
2025-03-10,420000.0,Real
2025-03-11,400000.0,Real
2025-03-12,430000.0,Real
2025-03-13,410000.0,Real
2025-03-14,420000.0,Real
2025-03-15,450000.0,Real
2025-03-16,440000.0,Real
2025-03-17,480000.0,Real
2025-03-18,450000.0,Real
2025-03-19,400000.0,Real
2025-03-20,400000.0,Real
2025-03-21,410000.0,Real
2025-03-22,430000.0,Real
2025-03-23,390000.0,Real
2025-03-24,420000.0,Real
2025-03-25,290000.0,Real
2025-03-26,430000.0,Real
2025-03-27,400000.0,Real
2025-03-28,410000.0,Real
2025-03-29,420000.0,Real
2025-03-30,380000.0,Real
2025-03-31,370000.0,Real
2025-04-01,420000.0,Real
2025-04-02,430000.0,Real
2025-04-03,450000.0,Real
2025-04-04,490000.0,Real
2025-04-05,500000.0,Real
2025-04-06,460000.0,Real
2025-04-07,460000.0,Real
2025-04-08,400000.0,Real
2025-04-09,400000.0,Real
2025-04-10,410000.0,Real
2025-04-11,440000.0,Real
2025-04-12,440000.0,Real
2025-04-13,460000.0,Real
2025-04-14,450000.0,Real
2025-04-15,500000.0,Real
2025-04-16,500000.0,Real
2025-04-17,470000.0,Real
2025-04-18,460000.0,Real
